"Measure code","SEX","COUNTRY_REGION","YEAR","VALUE"
"REHAB_1","FEMALE","AUT","1993","39450.91"
"REHAB_1","MALE","AUT","1993","40146.17"
"REHAB_1","ALL","AUT","1994","39801.74"
"REHAB_1","FEMALE","AUT","1994","39434.50"
"REHAB_1","MALE","AUT","1994","40195.12"
"REHAB_1","ALL","AUT","1995","39916.72"
"REHAB_1","FEMALE","AUT","1995","39520.84"
"REHAB_1","MALE","AUT","1995","40340.28"
"REHAB_1","ALL","AUT","1996","40013.37"
"REHAB_1","FEMALE","AUT","1996","39601.00"
"REHAB_1","MALE","AUT","1996","40454.16"
"REHAB_1","ALL","AUT","1997","40109.55"
"REHAB_1","FEMALE","AUT","1997","39704.65"
"REHAB_1","MALE","AUT","1997","40542.02"
"REHAB_1","ALL","AUT","1998","40184.96"
"REHAB_1","FEMALE","AUT","1998","39804.22"
"REHAB_1","MALE","AUT","1998","40591.33"
"REHAB_1","ALL","AUT","1999","40277.03"
"REHAB_1","FEMALE","AUT","1999","39926.49"
"REHAB_1","MALE","AUT","1999","40650.85"
"REHAB_1","ALL","AUT","2000","40408.53"
"REHAB_1","FEMALE","AUT","2000","40085.15"
"REHAB_1","MALE","AUT","2000","40753.00"
"REHAB_1","ALL","AUT","2001","40516.10"
"REHAB_1","FEMALE","AUT","2001","40212.26"
"REHAB_1","MALE","AUT","2001","40839.30"
"REHAB_1","ALL","AUT","2002","40637.32"
"REHAB_1","FEMALE","AUT","2002","40355.55"
"REHAB_1","MALE","AUT","2002","40936.56"
"REHAB_1","ALL","AUT","2003","40729.35"
"REHAB_1","FEMALE","AUT","2003","40472.95"
"REHAB_1","MALE","AUT","2003","41001.18"
"REHAB_1","ALL","AUT","2004","40826.59"
"REHAB_1","FEMALE","AUT","2004","40601.68"
"REHAB_1","MALE","AUT","2004","41064.65"
"REHAB_1","ALL","AUT","2005","40954.73"
"REHAB_1","FEMALE","AUT","2005","40769.45"
"REHAB_1","MALE","AUT","2005","41150.52"
"REHAB_1","ALL","AUT","2006","41091.48"
"REHAB_1","FEMALE","AUT","2006","40924.87"
"REHAB_1","MALE","AUT","2006","41267.34"
"REHAB_1","ALL","AUT","2007","41290.34"
"REHAB_1","FEMALE","AUT","2007","41118.10"
"REHAB_1","MALE","AUT","2007","41472.04"
"REHAB_1","ALL","AUT","2008","41495.39"
"REHAB_1","FEMALE","AUT","2008","41307.97"
"REHAB_1","MALE","AUT","2008","41693.02"
"REHAB_1","ALL","AUT","2009","41712.10"
"REHAB_1","FEMALE","AUT","2009","41521.12"
"REHAB_1","MALE","AUT","2009","41913.40"
"REHAB_1","ALL","AUT","2010","41917.39"
"REHAB_1","FEMALE","AUT","2010","41750.54"
"REHAB_1","MALE","AUT","2010","42093.16"
"REHAB_1","ALL","AUT","2011","42064.83"
"REHAB_1","FEMALE","AUT","2011","41938.95"
"REHAB_1","MALE","AUT","2011","42197.33"
"REHAB_1","ALL","AUT","2012","42206.97"
"REHAB_1","FEMALE","AUT","2012","42119.69"
"REHAB_1","MALE","AUT","2012","42298.69"
"REHAB_1","ALL","AUT","2013","42314.77"
"REHAB_1","FEMALE","AUT","2013","42264.91"
"REHAB_1","MALE","AUT","2013","42367.04"
"REHAB_1","ALL","AUT","2014","42406.56"
"REHAB_1","FEMALE","AUT","2014","42402.47"
"REHAB_1","MALE","AUT","2014","42410.83"
"REHAB_1","ALL","AUT","2015","42482.20"
"REHAB_1","FEMALE","AUT","2015","42530.28"
"REHAB_1","MALE","AUT","2015","42432.19"
"REHAB_1","ALL","AUT","2016","42650.02"
"REHAB_1","FEMALE","AUT","2016","42763.34"
"REHAB_1","MALE","AUT","2016","42532.57"
"REHAB_1","ALL","AUT","2017","42868.68"
"REHAB_1","FEMALE","AUT","2017","43022.39"
"REHAB_1","MALE","AUT","2017","42709.77"
"REHAB_1","ALL","AUT","2018","42906.51"
"REHAB_1","FEMALE","AUT","2018","43157.24"
"REHAB_1","MALE","AUT","2018","42647.90"
"REHAB_1","ALL","AUT","2019","42846.51"
"REHAB_1","FEMALE","AUT","2019","43312.12"
"REHAB_1","MALE","AUT","2019","42367.31"
"REHAB_1","ALL","AZE","1990","27021.70"
"REHAB_1","FEMALE","AZE","1990","25998.11"
"REHAB_1","MALE","AZE","1990","28095.79"
"REHAB_1","ALL","AZE","1991","26888.08"
"REHAB_1","FEMALE","AZE","1991","25875.93"
"REHAB_1","MALE","AZE","1991","27951.36"
"REHAB_1","ALL","AZE","1992","27130.35"
"REHAB_1","FEMALE","AZE","1992","25999.62"
"REHAB_1","MALE","AZE","1992","28319.61"
"REHAB_1","ALL","AZE","1993","27012.24"
"REHAB_1","FEMALE","AZE","1993","25883.48"
"REHAB_1","MALE","AZE","1993","28200.73"
"REHAB_1","ALL","AZE","1994","27064.46"
"REHAB_1","FEMALE","AZE","1994","25888.59"
"REHAB_1","MALE","AZE","1994","28303.13"
"REHAB_1","ALL","AZE","1995","26906.63"
"REHAB_1","FEMALE","AZE","1995","25752.03"
"REHAB_1","MALE","AZE","1995","28122.57"
"REHAB_1","ALL","AZE","1996","26960.93"
"REHAB_1","FEMALE","AZE","1996","25801.91"
"REHAB_1","MALE","AZE","1996","28180.13"
"REHAB_1","ALL","AZE","1997","27054.12"
"REHAB_1","FEMALE","AZE","1997","25885.44"
"REHAB_1","MALE","AZE","1997","28281.29"
"REHAB_1","ALL","AZE","1998","27178.69"
"REHAB_1","FEMALE","AZE","1998","26004.52"
"REHAB_1","MALE","AZE","1998","28408.59"
"REHAB_1","ALL","AZE","1999","27330.79"
"REHAB_1","FEMALE","AZE","1999","26157.75"
"REHAB_1","MALE","AZE","1999","28556.19"
"REHAB_1","ALL","AZE","2000","27473.69"
"REHAB_1","FEMALE","AZE","2000","26298.57"
"REHAB_1","MALE","AZE","2000","28697.25"
"REHAB_1","ALL","AZE","2001","27619.63"
"REHAB_1","FEMALE","AZE","2001","26486.46"
