"Measure code","SEX","COUNTRY_REGION","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"REHAB_1","ALL","UZB","23837.62","23831.39","23828.58","23837.94","23843.99","23868.34","23938.71","24026.75","24130.99","24250.36","24378.14","24491.65","24589.29","24668.70","24739.54","24800.80","24875.13","24941.88","24996.69","25043.41","25088.85","25132.64","25163.65","25200.30","25269.62","25392.08","25740.82","26131.31","26385.71","26629.00"
"REHAB_1","FEMALE","ALB","29603.55","29830.91","30082.18","30355.88","30655.30","30966.26","31295.46","31881.77","31749.99","32452.91","33176.53","33633.03","34075.89","34494.09","34906.09","35323.41","35630.17","35768.99","35848.95","35988.67","36323.35","36802.02","37286.89","37810.47","38343.08","38833.46","39638.55","40444.57","40896.27","41272.42"
"REHAB_1","FEMALE","AND","34200.16","34021.93","34193.47","34563.20","35078.56","35531.17","35906.36","36386.43","36842.53","37306.72","37899.43","38400.73","38793.07","38525.86","38244.92","38220.17","38374.93","38685.94","39014.99","39494.77","39844.01","39841.96","40143.36","40578.68","40932.64","41273.80","41822.89","42324.71","42746.50","43149.36"
"REHAB_1","FEMALE","ARM","32023.21","32058.50","32103.62","32150.27","32242.09","32412.86","32594.54","32759.78","32925.05","33131.81","33446.23","33800.77","34109.42","34367.78","34598.81","34857.44","35099.15","35303.39","35464.81","35620.48","35820.46","36040.73","36246.89","36435.99","36636.89","36884.54","37372.35","37815.06","38028.32","38216.98"
"REHAB_1","FEMALE","AUT","39758.08","39634.70","39536.09","39450.91","39434.50","39520.84","39601.00","39704.65","39804.22","39926.49","40085.15","40212.26","40355.55","40472.95","40601.68","40769.45","40924.87","41118.10","41307.97","41521.12","41750.54","41938.95","42119.69","42264.91","42402.47","42530.28","42763.34","43022.39","43157.24","43312.12"
"REHAB_1","FEMALE","AZE","25998.11","25875.93","25999.62","25883.48","25888.59","25752.03","25801.91","25885.44","26004.52","26157.75","26298.57","26486.46","26650.27","26823.57","27005.43","27184.68","27397.64","27594.73","27794.79","28012.34","28223.90","28471.01","28701.59","28942.24","29217.18","29512.81","30006.08","30472.31","30791.80","31112.37"
"REHAB_1","FEMALE","BLR","40486.10","40493.87","40539.72","40631.76","40772.44","40972.48","41251.26","41595.89","41959.77","42311.06","42630.00","42920.17","43189.98","43438.12","43685.67","43923.23","44138.71","44347.33","44531.40","44696.61","44844.85","44955.60","45046.16","45114.12","45158.54","45190.77","45098.03","45076.78","45240.52","45428.90"
"REHAB_1","FEMALE","BEL","40753.15","40846.91","40963.93","41104.24","41277.83","41471.32","41722.62","42087.38","42527.05","43003.26","43477.58","44036.12","44723.10","45403.41","45963.44","46288.57","46427.63","46530.22","46596.47","46645.44","46686.87","46560.89","46214.94","45801.25","45480.70","45405.78","45714.13","46031.06","45775.06","44996.95"
"REHAB_1","FEMALE","BIH","34671.37","34861.69","36345.83","37109.68","37673.57","39496.51","39099.08","38974.57","38934.86","39129.55","39458.34","39710.90","39814.12","39868.81","40061.64","40399.64","40665.27","40923.72","41265.19","41627.27","42012.61","42384.34","42745.99","43127.07","43539.87","43974.51","44777.56","45575.76","46036.53","46507.46"
"REHAB_1","FEMALE","BGR","41398.00","41551.76","41729.06","41936.54","42181.80","42460.98","42765.71","43067.81","43370.12","43662.72","43939.81","44189.33","44385.18","44554.97","44721.25","44889.38","45050.39","45193.16","45363.90","45589.17","45878.75","46190.99","46458.42","46711.37","46957.44","47194.78","47515.01","47804.57","47995.27","48196.58"
